State,LifeExpectancy,ARTHRITIS,BPHIGH,CANCER,CASTHMA,CHD,COPD,DEPRESSION,DIABETES,HIGHCHOL,OBESITY,STROKE
Missouri,75.2,25.2070461588648,32.9389985320502,7.15186755831023,10.6748001957266,5.61717501223291,6.96046321970315,25.1232099168162,10.399314956777,32.477426194748,36.806768879465,3.08292285108465
"South Carolina",75.1,24.3983741356756,34.4771631470753,6.95286862268735,9.7162025789572,5.47712577088395,6.36150252289292,23.1243879648664,11.7863390020557,32.8930293403102,35.9555783965614,3.29605681181088
"New Mexico",74.5,22.2746323529412,31.1125735294118,5.96349264705882,9.99636029411765,6.04257352941176,5.96643382352941,23.9824632352941,11.6715441176471,30.1828308823529,35.0786029411765,3.30915441176471
Arkansas,73.9,25.0669525065963,37.9326517150396,6.8898746701847,10.3779683377309,6.36866754617414,7.44993403693931,25.313555408971,11.502308707124,33.1457783641161,39.5308047493404,3.43449868073879
Oklahoma,73.8,25.3494398805078,36.0366691560866,6.83569828230022,11.5674632810555,6.35222803086881,7.2151854617874,26.0159322877769,11.5568085636047,33.5465521533483,39.2390092108539,3.3395070948469
Tennessee,73.8,27.2634142897487,36.2811352725219,7.03223665631178,10.9951567353855,5.89505789325049,7.50707427280429,29.0061988138944,11.9410477266309,33.9447754871505,37.5513979101949,3.24161253883084
Alabama,73.8,26.5949142519219,39.6021683422038,6.83601419278533,10.0927459097181,6.0437808003154,6.9505223733491,24.0801695249359,12.7428543268283,35.6332544845259,39.6048097772521,3.5093435836783
Louisiana,73.8,26.5173051519155,39.4685380889476,6.42129018053721,10.351321003963,6.37802730074857,7.51153676794364,27.2368339938353,13.397666226332,33.8536107441656,40.0965433729635,3.76470717745487
Mississippi,72.6,26.4831437435367,41.6221647707687,6.43471216821785,10.038710789383,6.26528783178214,7.50978972768011,20.0832126852809,13.5489486384006,34.0619786280593,40.6410203378145,3.92299207169941
"West Virginia",72.2,31.7570527522936,38.434747706422,7.42310779816514,12.3362385321101,6.6706995412844,8.78102064220183,31.9501720183486,12.85625,36.2260321100917,40.7703555045872,3.32293577981651
