State,LifeExpectancy,DiseaseBurden,ScreeningRate,LifestyleRisk,SocialRisk,AccessBarrier,ARTHRITIS,BPHIGH,CANCER,CASTHMA,CHD,COPD,DEPRESSION,DIABETES,HIGHCHOL,OBESITY,STROKE,BINGE,CSMOKING,LPA,SLEEP,ACCESS2,BPMED,CHECKUP,CHOLSCREEN,COLON_SCREEN,DENTAL,MAMMOUSE,LONELINESS,FOODSTAMP,FOODINSECU,HOUSINSECU,SHUTUTILITY,LACKTRPT,EMOTIONSPT
Oregon,77.7,17.0,67.0,20.0,,8.8,23.6973902728351,29.1183867141163,7.33570581257414,11.9462870699881,5.29634638196916,5.82631079478055,27.9226334519573,9.60268090154211,29.69162514828,33.704009489917,2.81243179122183,16.8398339264531,12.2836773428232,19.299359430605,31.5662633451957,8.75285883748517,50.7024673784104,70.3814234875445,82.028896797153,58.0196915776987,63.9774139976275,76.9053855278766,,,,,,,
Illinois,77.5,16.6,68.6,22.6,16.3,9.0,22.296642394822,30.620523193096,6.90618932038835,9.99350053937433,5.1152238403452,5.80338457389428,21.2493932038835,9.86693635382956,31.5338727076591,36.2845604099245,2.78040722761597,19.1624325782093,13.0077130528587,21.9641990291262,36.3436084142395,9.00041801510248,57.0569579288026,75.8999595469256,85.5368122977346,57.2616100323625,63.251024811219,72.4790857605178,33.9147518878101,12.9724379719525,14.3861380798274,12.4036677454153,7.64898867313916,7.68484358144552,25.1382551240561
Virginia,77.5,17.5,71.8,22.4,15.9,9.2,23.9341278295606,33.3438748335553,6.64310252996005,10.672396804261,5.31472703062583,5.72507323568575,22.8181091877497,11.2264846870839,33.805206391478,36.1529960053262,2.99335552596538,15.6190679094541,13.1028362183755,23.6426098535286,37.0531824234354,9.22026631158455,59.506844207723,77.9125699067909,86.0240612516644,62.7305725699068,66.5395073235686,77.8298002663116,34.7464580559254,11.8711984021305,14.1533155792277,12.1922370173103,8.03556591211718,8.0685086551265,22.089533954727
"South Dakota",77.3,16.7,69.8,22.6,,9.0,22.7909351692484,30.2898450946644,7.65800344234079,10.4048192771084,5.75438898450947,6.09925415949512,21.9737808376363,10.1356282271945,29.3458405048767,35.8986804360298,3.0421686746988,20.3942053930006,16.4265633964429,23.8205966724039,29.7790017211704,8.97360872059667,56.5116465863454,74.1808376362593,82.8913941480207,58.4776247848537,69.8889845094664,76.6854847963282,,,,,,,
Montana,77.3,16.5,64.7,22.9,14.8,10.2,24.4962634730539,29.0826586826347,7.43925748502994,11.3548023952096,5.45470658682635,6.37849101796407,25.6791856287425,8.5974371257485,27.5387305389222,32.817005988024,2.984,22.1226347305389,15.1473532934132,21.397005988024,32.9004790419162,10.1729101796407,52.2127664670659,68.6094610778443,79.4902994011976,55.5028982035928,60.3560239520958,71.9798083832335,31.6719281437126,9.66249101796407,13.234874251497,10.6897245508982,7.70641916167665,8.34610778443114,22.2356886227545
Texas,77.1,17.0,65.8,24.6,,19.7,21.4272746309287,32.4352162077269,6.04605800439745,9.63191812375667,5.54692702334834,5.73673437336405,22.1263584964925,12.2085802533766,32.3803214323108,36.4829965448644,3.07163647785572,17.9871636477856,13.4258559313161,28.3335881059575,38.764857083028,19.7452099256622,58.0090409381217,72.8443252015496,83.9380379017904,54.424002722228,53.1610511988274,72.504507381426,,,,,,,
Wyoming,76.8,16.0,63.5,22.4,,12.0,21.8354385964912,28.1266666666667,7.3559649122807,10.2514035087719,5.31912280701754,6.07789473684211,22.4466666666667,9.30368421052632,28.9038596491228,33.9250877192982,2.7959649122807,16.9147368421053,14.360350877193,24.7421052631579,33.5735087719298,12.0005263157895,52.0161403508772,67.1368421052632,80.1547368421053,53.2385964912281,61.6447368421053,66.6601754385965,,,,,,,
Michigan,76.8,18.0,71.5,23.0,16.5,7.2,25.4587931775835,32.0901676938512,7.52776264870288,11.5166260570446,5.67758348860542,7.01265586928479,27.8661459079834,9.81708470689408,30.3983517271033,37.1408341694138,2.98581052028092,18.1782141321485,15.2594094883188,23.729023935789,34.8940232191486,7.18659882470976,58.0542496775118,77.9830586211839,85.4214848788878,63.9428264296976,67.402680235058,76.4380966031245,33.5485595528164,14.0971191056328,15.1661889064068,12.1833739429554,8.87228034972051,8.33310878601118,23.3327074673929
Arizona,76.7,16.9,62.7,23.4,18.9,15.1,23.0005608524958,30.7961862030286,7.02170499158721,11.1497476163769,5.76421761076837,6.78597868760516,20.9159282108805,10.7688726864835,31.8725743129557,34.3704430734717,3.28132361189007,16.9292204150308,14.446270330903,24.1965787997757,37.9871003925967,15.1139652271453,53.9312394840157,70.4630959057768,81.3306225462703,50.237072349972,54.6330342120022,65.7029164329781,32.9458777341559,14.5430734716769,20.0467190128996,15.70532809871,10.2652832305104,10.6903533370724,28.1026360067302
Maine,76.6,17.4,70.5,22.1,16.0,8.3,25.7583273251622,29.7138428262437,7.44844989185292,12.8158615717376,5.57829848594088,6.69488103821197,28.4084354722422,8.77829848594088,30.7410237923576,32.7552271088681,2.77937995674117,17.982408074982,14.8478731074261,21.5217736121125,33.9958183129055,8.30944484498919,53.9966834895458,78.2560922855083,84.2715933669791,63.5315789473684,63.1473684210526,79.8803172314347,33.7311463590483,15.2527036770007,11.4995674116799,11.1963950973324,8.38521989906272,8.50677721701514,23.6987022350397
"District of Columbia",76.6,14.9,72.8,20.0,16.2,6.2,18.7,30.3,6.0,10.2,4.1,4.2,21.0,8.5,33.3,25.1,3.0,22.5,9.5,15.3,32.8,6.2,57.2,77.0,90.2,66.0,69.3,77.0,36.2,12.8,13.8,12.0,7.8,7.8,22.7
Delaware,76.5,17.4,70.4,23.0,16.1,9.5,23.3007766990291,32.9943689320388,7.0021359223301,10.8802912621359,5.24495145631068,5.79388349514563,22.0600970873786,10.7821359223301,34.9415533980582,35.5309708737864,2.97339805825243,16.0495145631068,12.918640776699,25.9847572815534,37.0009708737864,9.47368932038835,58.6021359223301,78.4425242718446,85.7795145631068,59.8930097087379,61.7925242718447,77.7514563106796,33.146213592233,12.4616504854369,14.9414563106796,13.0483495145631,8.31805825242719,8.31912621359223,22.5688349514563
Kansas,76.5,17.0,69.0,23.0,14.8,10.3,22.7502077562327,31.6556440443213,6.92832409972299,9.97860110803324,5.46977146814404,5.95228531855956,21.3204293628809,10.1301246537396,32.4783587257618,36.992243767313,2.83604570637119,17.3870844875346,14.5344182825485,25.0004847645429,35.2687673130194,10.3299861495845,59.764404432133,75.0682132963989,83.0935595567867,58.0906855955679,64.2921052631579,73.8030470914128,31.4746537396122,7.8689404432133,13.6010734072022,12.1961218836565,9.02479224376731,7.46745152354571,21.6313019390582
Nevada,76.4,17.2,64.5,24.5,19.7,14.5,24.0207808564232,30.5482367758186,6.98646095717884,10.8574307304786,6.16845088161209,7.26801007556675,22.1058564231738,10.5775188916877,33.1176322418136,33.7044710327456,3.32348866498741,18.142758186398,16.3833123425693,25.5333753148615,38.0299748110831,14.4603274559194,52.7715994962217,70.8948992443325,81.7125314861461,54.954282115869,56.7871536523929,69.7433879093199,37.2282115869018,16.8113979848866,19.4977329974811,16.1289672544081,10.6181360201511,10.9587531486146,26.5851385390428
Georgia,75.9,17.4,69.7,23.7,19.0,13.8,22.834525377368,35.5367743896262,6.38029581602675,10.1631546955729,5.53320838820788,6.07125924425084,19.5012055516158,12.2822814304528,33.5090061797184,36.0222571168068,3.34018843075676,15.0811569243238,14.1785026846318,26.7646337757066,38.7439266538345,13.8105865667106,61.789838922095,77.3289129774086,85.7642285482727,59.9432478978827,58.1635903150643,75.1175260865161,38.0110019248303,14.9117718569547,18.5043561949144,15.9346266842265,10.2666903049336,9.96255698510789,25.1466619390133
"North Carolina",75.9,17.9,70.6,22.5,17.2,11.3,24.5001660735469,34.3516132858837,6.77340450771056,11.0249940688019,5.74909845788849,6.61141162514828,25.3331198102017,10.8195729537367,31.5125622775801,36.8503558718861,3.29607354685647,15.9748635824437,14.8177461447212,24.1487307236062,35.1426097271649,11.2592289442467,59.2312336892052,78.335349940688,85.7800474495848,60.6515658362989,61.670699881376,77.8189205219454,33.5759786476868,13.9833807829181,16.7982799525504,13.7849228944247,9.31418742586003,9.25809015421115,23.3462870699881
Alaska,75.8,16.5,61.4,24.1,17.4,10.8,22.1013321492007,32.1308170515098,6.53658969804618,10.9810390763766,5.98960923623446,6.13952042628774,19.9759325044405,9.53796625222025,30.0660301953819,34.831838365897,3.29809058614565,19.1344138543517,17.6412522202487,22.4039520426288,37.3621669626998,10.7653641207815,50.2442273534636,65.9739786856128,78.1883658969805,52.8099023090586,56.6105239786856,64.5523978685613,34.4555062166963,10.7565275310835,16.0945381882771,13.7616341030195,9.21314387211368,10.3197158081705,27.3206039076377
